year,capacity,low capacity,high capacity,low capacity exp,high capacity exp
2021,148,148,148,148,148
2022,363,1799.482143,2907.517857,272.25,453.75
2023,521,3450.964286,5667.035714,390.75,651.25
2024,1048,5102.446429,8426.553571,786,1310
2025,2608,6753.928571,11186.07143,1956,3260
2026,3688,8405.410714,13945.58929,2766,4610
2027,5191,10056.89286,16705.10714,3893.25,6488.75
2028,6694,11708.375,19464.625,5020.5,8367.5
2029,8197,13359.85714,22224.14286,6147.75,10246.25
2030,9700,15011.33929,24983.66071,7275,12125
2031,13965,16662.82143,27743.17857,10473.75,17456.25
2032,18230,18314.30357,30502.69643,13672.5,22787.5
2033,22495,19965.78571,33262.21429,16871.25,28118.75
2034,26760,21617.26786,36021.73214,20070,33450
2035,31025,23268.75,38781.25,23268.75,38781.25
